--------------------------------------------------------
pid=0, name='System Idle Process', status='running'
pid=4, name='System', status='running'
pid=72, name='svchost.exe', status='running', started='21:15:15'
pid=100, name='Registry', status='running', started='21:15:07'
pid=368, name='smss.exe', status='running', started='21:15:09'
pid=384, name='RuntimeBroker.exe', status='running', started='21:16:25'
pid=500, name='csrss.exe', status='running', started='21:15:11'
pid=524, name='svchost.exe', status='running', started='21:15:15'
pid=620, name='wininit.exe', status='running', started='21:15:13'
pid=628, name='csrss.exe', status='running', started='21:15:13'
pid=688, name='dwm.exe', status='running', started='21:15:15'
pid=692, name='services.exe', status='running', started='21:15:13'
pid=740, name='winlogon.exe', status='running', started='21:15:13'
pid=788, name='lsass.exe', status='running', started='21:15:14'
pid=904, name='svchost.exe', status='running', started='21:15:15'
pid=932, name='fontdrvhost.exe', status='running', started='21:15:15'
pid=936, name='fontdrvhost.exe', status='running', started='21:15:15'
pid=972, name='YourPhoneServer.exe', status='running', started='21:53:10'
pid=1132, name='svchost.exe', status='running', started='21:15:15'
pid=1140, name='svchost.exe', status='running', started='21:15:15'
pid=1144, name='svchost.exe', status='running', started='21:15:15'
pid=1212, name='svchost.exe', status='running', started='21:15:15'
pid=1224, name='svchost.exe', status='running', started='21:15:15'
pid=1268, name='TextInputHost.exe', status='running', started='21:15:59'
pid=1296, name='svchost.exe', status='running', started='21:15:15'
pid=1328, name='svchost.exe', status='running', started='21:15:15'
pid=1336, name='svchost.exe', status='running', started='21:15:15'
pid=1436, name='IntelCpHDCPSvc.exe', status='running', started='21:15:15'
pid=1444, name='svchost.exe', status='running', started='21:15:15'
pid=1504, name='svchost.exe', status='running', started='21:15:15'
pid=1548, name='svchost.exe', status='running', started='21:15:15'
pid=1588, name='svchost.exe', status='running', started='21:15:15'
pid=1612, name='RuntimeBroker.exe', status='running', started='21:16:06'
pid=1632, name='svchost.exe', status='running', started='21:15:15'
pid=1676, name='svchost.exe', status='running', started='21:15:15'
pid=1852, name='svchost.exe', status='running', started='21:15:15'
pid=2004, name='igfxCUIService.exe', status='running', started='21:15:15'
pid=2020, name='svchost.exe', status='running', started='21:15:15'
pid=2032, name='svchost.exe', status='running', started='21:31:21'
pid=2036, name='svchost.exe', status='running', started='21:15:15'
pid=2124, name='svchost.exe', status='running', started='21:15:15'
pid=2132, name='svchost.exe', status='running', started='21:15:15'
pid=2140, name='NVDisplay.Container.exe', status='running', started='21:15:15'
pid=2316, name='svchost.exe', status='running', started='21:15:15'
pid=2324, name='svchost.exe', status='running', started='21:15:15'
pid=2332, name='svchost.exe', status='running', started='21:15:15'
pid=2384, name='svchost.exe', status='running', started='21:15:15'
pid=2420, name='svchost.exe', status='running', started='21:15:15'
pid=2436, name='svchost.exe', status='running', started='21:15:15'
pid=2472, name='svchost.exe', status='running', started='21:15:16'
pid=2476, name='MemCompression', status='running', started='21:15:15'
pid=2580, name='svchost.exe', status='running', started='21:15:15'
pid=2640, name='LockApp.exe', status='stopped', started='21:53:10'
pid=2752, name='svchost.exe', status='running', started='21:15:16'
pid=2772, name='NVDisplay.Container.exe', status='running', started='21:15:16'
pid=2848, name='svchost.exe', status='running', started='21:15:16'
pid=2856, name='svchost.exe', status='running', started='21:15:16'
pid=2864, name='svchost.exe', status='running', started='21:15:16'
pid=2920, name='svchost.exe', status='running', started='21:15:28'
pid=2936, name='SecurityHealthService.exe', status='running', started='21:15:35'
pid=3020, name='SgrmBroker.exe', status='running', started='21:17:19'
pid=3068, name='svchost.exe', status='running', started='21:15:16'
pid=3160, name='svchost.exe', status='running', started='21:15:16'
pid=3248, name='spoolsv.exe', status='running', started='21:15:16'
pid=3260, name='RuntimeBroker.exe', status='running', started='21:53:10'
pid=3304, name='svchost.exe', status='running', started='21:15:16'
pid=3332, name='svchost.exe', status='running', started='21:15:16'
pid=3420, name='svchost.exe', status='running', started='21:15:16'
pid=3428, name='ApplicationFrameHost.exe', status='running', started='21:17:15'
pid=3516, name='RuntimeBroker.exe', status='running', started='21:17:16'
pid=3572, name='svchost.exe', status='running', started='21:15:16'
pid=3668, name='AdminService.exe', status='running', started='21:15:17'
